Loading datasets...
Datasets loaded to GPU.
Worker 4/8: sweep 0acb79e7, 25/200 runs

[worker 4] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 71, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.145,0.949,1.000,0.903
[2 of 100],20000,0.017,0.996,0.943,0.935
[3 of 100],30000,0.013,0.997,1.000,0.867
[4 of 100],40000,0.001,1.000,1.000,0.878
[5 of 100],50000,0.000,1.000,1.000,0.901
[6 of 100],60000,0.020,0.995,1.000,0.889
[7 of 100],70000,0.000,1.000,1.000,0.896
[8 of 100],80000,0.000,1.000,1.000,0.903
[9 of 100],90000,0.000,1.000,1.000,0.904
[10 of 100],100000,0.000,1.000,1.000,0.911
[11 of 100],110000,0.000,1.000,1.000,0.908
[12 of 100],120000,0.019,0.996,1.000,0.965
[13 of 100],130000,0.003,0.999,1.000,0.941
[14 of 100],140000,0.002,1.000,1.000,0.907
[15 of 100],150000,0.000,1.000,1.000,0.894
[16 of 100],160000,0.007,0.999,1.000,0.942
[17 of 100],170000,0.000,1.000,1.000,0.933
[18 of 100],180000,0.000,1.000,1.000,0.935
[19 of 100],190000,0.003,0.999,1.000,0.652
[20 of 100],200000,0.000,1.000,1.000,0.624
[21 of 100],210000,0.000,1.000,1.000,0.633
[22 of 100],220000,0.000,1.000,1.000,0.660
[23 of 100],230000,0.000,1.000,1.000,0.665
[24 of 100],240000,0.000,1.000,1.000,0.665
[25 of 100],250000,0.000,1.000,1.000,0.663
[26 of 100],260000,0.000,1.000,1.000,0.667
[27 of 100],270000,0.000,1.000,1.000,0.671
[28 of 100],280000,0.000,1.000,1.000,0.673
[29 of 100],290000,0.000,1.000,1.000,0.679
[30 of 100],300000,0.000,1.000,1.000,0.680
[31 of 100],310000,0.000,1.000,1.000,0.684
[32 of 100],320000,0.000,1.000,1.000,0.687
[33 of 100],330000,0.000,1.000,1.000,0.692
[34 of 100],340000,0.000,1.000,1.000,0.694
[35 of 100],350000,0.000,1.000,1.000,0.698
[36 of 100],360000,0.000,1.000,1.000,0.699
[37 of 100],370000,0.000,1.000,1.000,0.702
[38 of 100],380000,0.000,1.000,1.000,0.696
[39 of 100],390000,0.000,1.000,1.000,0.699
[40 of 100],400000,0.000,1.000,1.000,0.700
[41 of 100],410000,0.000,1.000,1.000,0.701
[42 of 100],420000,0.000,1.000,1.000,0.710
[43 of 100],430000,0.000,1.000,1.000,0.713
[44 of 100],440000,0.000,1.000,1.000,0.710
[45 of 100],450000,0.000,1.000,1.000,0.709
[46 of 100],460000,0.000,1.000,1.000,0.710
[47 of 100],470000,0.000,1.000,1.000,0.710
[48 of 100],480000,0.000,1.000,1.000,0.700
[49 of 100],490000,0.000,1.000,1.000,0.703
[50 of 100],500000,0.000,1.000,1.000,0.703
[51 of 100],510000,0.000,1.000,1.000,0.709
[52 of 100],520000,0.000,1.000,1.000,0.708
[53 of 100],530000,0.000,1.000,1.000,0.707
[54 of 100],540000,0.000,1.000,1.000,0.707
[55 of 100],550000,0.000,1.000,1.000,0.707
[56 of 100],560000,0.000,1.000,1.000,0.707
[57 of 100],570000,0.000,1.000,1.000,0.706
[58 of 100],580000,0.000,1.000,1.000,0.706
[59 of 100],590000,0.000,1.000,1.000,0.706
[60 of 100],600000,0.000,1.000,1.000,0.708
[61 of 100],610000,0.000,1.000,1.000,0.708
[62 of 100],620000,0.000,1.000,1.000,0.707
[63 of 100],630000,0.000,1.000,1.000,0.708
[64 of 100],640000,0.000,1.000,1.000,0.708
[65 of 100],650000,0.000,1.000,1.000,0.708
[66 of 100],660000,0.000,1.000,1.000,0.708
[67 of 100],670000,0.000,1.000,1.000,0.709
[68 of 100],680000,0.000,1.000,1.000,0.709
[69 of 100],690000,0.000,1.000,1.000,0.709
[70 of 100],700000,0.000,1.000,1.000,0.709
[71 of 100],710000,0.000,1.000,1.000,0.709
[72 of 100],720000,0.000,1.000,1.000,0.709
[73 of 100],730000,0.000,1.000,1.000,0.709
[74 of 100],740000,0.000,1.000,1.000,0.710
[75 of 100],750000,0.000,1.000,1.000,0.711
[76 of 100],760000,0.000,1.000,1.000,0.711
[77 of 100],770000,0.000,1.000,1.000,0.711
[78 of 100],780000,0.000,1.000,1.000,0.711
[79 of 100],790000,0.000,1.000,1.000,0.711
[80 of 100],800000,0.000,1.000,1.000,0.711
[81 of 100],810000,0.000,1.000,1.000,0.711
[82 of 100],820000,0.000,1.000,1.000,0.711
[83 of 100],830000,0.000,1.000,1.000,0.712
[84 of 100],840000,0.000,1.000,1.000,0.712
[85 of 100],850000,0.000,1.000,1.000,0.712
[86 of 100],860000,0.000,1.000,1.000,0.711
[87 of 100],870000,0.000,1.000,1.000,0.711
[88 of 100],880000,0.000,1.000,1.000,0.711
[89 of 100],890000,0.000,1.000,1.000,0.711
[90 of 100],900000,0.000,1.000,1.000,0.711
[91 of 100],910000,0.000,1.000,1.000,0.711
[92 of 100],920000,0.000,1.000,1.000,0.711
[93 of 100],930000,0.000,1.000,1.000,0.711
[94 of 100],940000,0.000,1.000,1.000,0.711
[95 of 100],950000,0.000,1.000,1.000,0.711
[96 of 100],960000,0.000,1.000,1.000,0.711
[97 of 100],970000,0.000,1.000,1.000,0.711
[98 of 100],980000,0.000,1.000,1.000,0.711
[99 of 100],990000,0.000,1.000,1.000,0.711
[100 of 100],1000000,0.000,1.000,1.000,0.711

[worker 4] Run 2/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 233, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.115,0.962,0.962,0.862
[2 of 100],20000,0.006,0.999,1.000,0.771
[3 of 100],30000,0.011,0.997,0.992,0.820
[4 of 100],40000,0.002,1.000,1.000,0.686
[5 of 100],50000,0.011,0.997,0.999,0.764
[6 of 100],60000,0.004,0.999,1.000,0.699
[7 of 100],70000,0.000,1.000,1.000,0.695
[8 of 100],80000,0.000,1.000,1.000,0.690
[9 of 100],90000,0.000,1.000,1.000,0.688
[10 of 100],100000,0.000,1.000,1.000,0.688
[11 of 100],110000,0.000,1.000,1.000,0.687
[12 of 100],120000,0.000,1.000,1.000,0.687
[13 of 100],130000,0.000,1.000,1.000,0.687
[14 of 100],140000,0.000,1.000,1.000,0.687
[15 of 100],150000,0.000,1.000,1.000,0.687
[16 of 100],160000,0.011,0.998,1.000,0.460
[17 of 100],170000,0.001,1.000,1.000,0.292
[18 of 100],180000,0.000,1.000,1.000,0.293
[19 of 100],190000,0.000,1.000,1.000,0.352
[20 of 100],200000,0.000,1.000,1.000,0.371
[21 of 100],210000,0.004,0.999,1.000,0.271
[22 of 100],220000,0.000,1.000,1.000,0.268
[23 of 100],230000,0.003,0.999,1.000,0.481
[24 of 100],240000,0.000,1.000,1.000,0.000
[25 of 100],250000,0.000,1.000,1.000,0.000
[26 of 100],260000,0.000,1.000,1.000,0.000
[27 of 100],270000,0.000,1.000,1.000,0.000
[28 of 100],280000,0.000,1.000,1.000,0.000
[29 of 100],290000,0.000,1.000,1.000,0.000
[30 of 100],300000,0.000,1.000,1.000,0.000
[31 of 100],310000,0.000,1.000,1.000,0.000
[32 of 100],320000,0.000,1.000,1.000,0.000
[33 of 100],330000,0.000,1.000,1.000,0.000
[34 of 100],340000,0.000,1.000,1.000,0.000
[35 of 100],350000,0.000,1.000,1.000,0.000
[36 of 100],360000,0.000,1.000,1.000,0.000
[37 of 100],370000,0.000,1.000,1.000,0.000
[38 of 100],380000,0.000,1.000,1.000,0.000
[39 of 100],390000,0.000,1.000,1.000,0.000
[40 of 100],400000,0.000,1.000,1.000,0.000
[41 of 100],410000,0.000,1.000,1.000,0.000
[42 of 100],420000,0.000,1.000,1.000,0.000
[43 of 100],430000,0.000,1.000,1.000,0.000
[44 of 100],440000,0.000,1.000,1.000,0.000
[45 of 100],450000,0.000,1.000,1.000,0.000
[46 of 100],460000,0.000,1.000,1.000,0.000
[47 of 100],470000,0.000,1.000,1.000,0.000
[48 of 100],480000,0.000,1.000,1.000,0.000
[49 of 100],490000,0.000,1.000,1.000,0.000
[50 of 100],500000,0.000,1.000,1.000,0.000
[51 of 100],510000,0.000,1.000,1.000,0.000
[52 of 100],520000,0.000,1.000,1.000,0.000
[53 of 100],530000,0.000,1.000,1.000,0.000
[54 of 100],540000,0.000,1.000,1.000,0.000
[55 of 100],550000,0.000,1.000,1.000,0.000
[56 of 100],560000,0.000,1.000,1.000,0.000
[57 of 100],570000,0.000,1.000,1.000,0.000
[58 of 100],580000,0.000,1.000,1.000,0.000
[59 of 100],590000,0.000,1.000,1.000,0.000
[60 of 100],600000,0.000,1.000,1.000,0.000
[61 of 100],610000,0.000,1.000,1.000,0.000
[62 of 100],620000,0.000,1.000,1.000,0.000
[63 of 100],630000,0.000,1.000,1.000,0.000
[64 of 100],640000,0.000,1.000,1.000,0.000
[65 of 100],650000,0.000,1.000,1.000,0.000
[66 of 100],660000,0.000,1.000,1.000,0.000
[67 of 100],670000,0.000,1.000,1.000,0.000
[68 of 100],680000,0.000,1.000,1.000,0.000
[69 of 100],690000,0.000,1.000,1.000,0.000
[70 of 100],700000,0.000,1.000,1.000,0.000
[71 of 100],710000,0.000,1.000,1.000,0.000
[72 of 100],720000,0.000,1.000,1.000,0.000
[73 of 100],730000,0.000,1.000,1.000,0.000
[74 of 100],740000,0.000,1.000,1.000,0.000
[75 of 100],750000,0.000,1.000,1.000,0.000
[76 of 100],760000,0.000,1.000,1.000,0.000
[77 of 100],770000,0.000,1.000,1.000,0.000
[78 of 100],780000,0.000,1.000,1.000,0.000
[79 of 100],790000,0.000,1.000,1.000,0.000
[80 of 100],800000,0.000,1.000,1.000,0.000
[81 of 100],810000,0.000,1.000,1.000,0.000
[82 of 100],820000,0.000,1.000,1.000,0.000
[83 of 100],830000,0.000,1.000,1.000,0.000
[84 of 100],840000,0.000,1.000,1.000,0.000
[85 of 100],850000,0.000,1.000,1.000,0.000
[86 of 100],860000,0.000,1.000,1.000,0.000
[87 of 100],870000,0.000,1.000,1.000,0.000
[88 of 100],880000,0.000,1.000,1.000,0.000
[89 of 100],890000,0.000,1.000,1.000,0.000
[90 of 100],900000,0.000,1.000,1.000,0.000
[91 of 100],910000,0.000,1.000,1.000,0.000
[92 of 100],920000,0.000,1.000,1.000,0.000
[93 of 100],930000,0.000,1.000,1.000,0.000
[94 of 100],940000,0.000,1.000,1.000,0.000
[95 of 100],950000,0.000,1.000,1.000,0.000
[96 of 100],960000,0.000,1.000,1.000,0.000
[97 of 100],970000,0.000,1.000,1.000,0.000
[98 of 100],980000,0.000,1.000,1.000,0.000
[99 of 100],990000,0.000,1.000,1.000,0.000
[100 of 100],1000000,0.000,1.000,1.000,0.000

[worker 4] Run 3/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 401, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.138,0.953,1.000,0.997
[2 of 100],20000,0.029,0.994,1.000,0.981
[3 of 100],30000,0.011,0.998,1.000,0.970
[4 of 100],40000,0.001,1.000,1.000,0.964
[5 of 100],50000,0.021,0.994,1.000,0.815
[6 of 100],60000,0.001,1.000,1.000,0.810
[7 of 100],70000,0.000,1.000,1.000,0.813
[8 of 100],80000,0.000,1.000,1.000,0.815
[9 of 100],90000,0.000,1.000,1.000,0.821
[10 of 100],100000,0.000,1.000,1.000,0.824
[11 of 100],110000,0.000,1.000,1.000,0.830
[12 of 100],120000,0.000,1.000,1.000,0.835
[13 of 100],130000,0.000,1.000,1.000,0.844
[14 of 100],140000,0.000,1.000,1.000,0.848
[15 of 100],150000,0.000,1.000,1.000,0.845
[16 of 100],160000,0.034,0.992,1.000,0.829
[17 of 100],170000,0.002,1.000,1.000,0.829
[18 of 100],180000,0.000,1.000,1.000,0.820
[19 of 100],190000,0.003,0.999,1.000,0.839
[20 of 100],200000,0.000,1.000,1.000,0.835
[21 of 100],210000,0.001,1.000,1.000,0.840
[22 of 100],220000,0.000,1.000,1.000,0.831
[23 of 100],230000,0.000,1.000,1.000,0.821
[24 of 100],240000,0.000,1.000,1.000,0.819
[25 of 100],250000,0.000,1.000,1.000,0.815
[26 of 100],260000,0.000,1.000,1.000,0.810
[27 of 100],270000,0.000,1.000,1.000,0.808
[28 of 100],280000,0.000,1.000,1.000,0.808
[29 of 100],290000,0.000,1.000,1.000,0.804
[30 of 100],300000,0.000,1.000,1.000,0.805
[31 of 100],310000,0.000,1.000,1.000,0.808
[32 of 100],320000,0.000,1.000,1.000,0.809
[33 of 100],330000,0.000,1.000,1.000,0.806
[34 of 100],340000,0.010,0.998,0.997,0.654
[35 of 100],350000,0.000,1.000,1.000,0.718
[36 of 100],360000,0.000,1.000,1.000,0.711
[37 of 100],370000,0.000,1.000,1.000,0.708
[38 of 100],380000,0.005,0.999,1.000,0.939
[39 of 100],390000,0.001,1.000,1.000,0.976
[40 of 100],400000,0.000,1.000,1.000,0.974
[41 of 100],410000,0.000,1.000,1.000,0.972
[42 of 100],420000,0.008,0.999,1.000,0.981
[43 of 100],430000,0.000,1.000,1.000,0.981
[44 of 100],440000,0.000,1.000,1.000,0.981
[45 of 100],450000,0.000,1.000,1.000,0.976
[46 of 100],460000,0.004,0.999,1.000,0.506
[47 of 100],470000,0.000,1.000,1.000,0.519
[48 of 100],480000,0.000,1.000,1.000,0.528
[49 of 100],490000,0.003,1.000,1.000,0.611
[50 of 100],500000,0.000,1.000,1.000,0.642
[51 of 100],510000,0.000,1.000,1.000,0.645
[52 of 100],520000,0.002,0.999,1.000,0.717
[53 of 100],530000,0.000,1.000,1.000,0.731
[54 of 100],540000,0.000,1.000,1.000,0.742
[55 of 100],550000,0.000,1.000,1.000,0.767
[56 of 100],560000,0.000,1.000,1.000,0.766
[57 of 100],570000,0.000,1.000,1.000,0.768
[58 of 100],580000,0.000,1.000,1.000,0.770
[59 of 100],590000,0.000,1.000,1.000,0.775
[60 of 100],600000,0.000,1.000,1.000,0.771
[61 of 100],610000,0.000,1.000,1.000,0.772
[62 of 100],620000,0.000,1.000,1.000,0.778
[63 of 100],630000,0.000,1.000,1.000,0.780
[64 of 100],640000,0.000,1.000,1.000,0.780
[65 of 100],650000,0.000,1.000,1.000,0.783
[66 of 100],660000,0.000,1.000,1.000,0.784
[67 of 100],670000,0.000,1.000,1.000,0.784
[68 of 100],680000,0.000,1.000,1.000,0.784
[69 of 100],690000,0.000,1.000,1.000,0.783
[70 of 100],700000,0.000,1.000,1.000,0.782
[71 of 100],710000,0.000,1.000,1.000,0.780
[72 of 100],720000,0.000,1.000,1.000,0.779
[73 of 100],730000,0.000,1.000,1.000,0.782
[74 of 100],740000,0.000,1.000,1.000,0.779
[75 of 100],750000,0.000,1.000,1.000,0.776
[76 of 100],760000,0.000,1.000,1.000,0.773
[77 of 100],770000,0.000,1.000,1.000,0.773
[78 of 100],780000,0.000,1.000,1.000,0.772
[79 of 100],790000,0.000,1.000,1.000,0.769
[80 of 100],800000,0.000,1.000,1.000,0.767
[81 of 100],810000,0.000,1.000,1.000,0.767
[82 of 100],820000,0.000,1.000,1.000,0.763
[83 of 100],830000,0.000,1.000,1.000,0.766
[84 of 100],840000,0.000,1.000,1.000,0.764
[85 of 100],850000,0.000,1.000,1.000,0.759
[86 of 100],860000,0.000,1.000,1.000,0.761
[87 of 100],870000,0.000,1.000,1.000,0.759
[88 of 100],880000,0.000,1.000,1.000,0.757
[89 of 100],890000,0.000,1.000,1.000,0.756
[90 of 100],900000,0.000,1.000,1.000,0.756
[91 of 100],910000,0.000,1.000,1.000,0.756
[92 of 100],920000,0.000,1.000,1.000,0.756
[93 of 100],930000,0.000,1.000,1.000,0.754
[94 of 100],940000,0.000,1.000,1.000,0.756
[95 of 100],950000,0.000,1.000,1.000,0.754
[96 of 100],960000,0.000,1.000,1.000,0.754
[97 of 100],970000,0.000,1.000,1.000,0.754
[98 of 100],980000,0.000,1.000,1.000,0.754
[99 of 100],990000,0.000,1.000,1.000,0.754
[100 of 100],1000000,0.000,1.000,1.000,0.754

[worker 4] Run 4/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 587, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.146,0.950,0.999,0.897
